排名,股票名稱,狀態,基準日股數,最新日股數,股數增減率(%),持股權重,基準日期,最新日期
[最近一日] 2026-09-17 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,金像電,持有,219000,1234000,463.47,0.45%,2026-09-17,2026-09-18
2,京元電子,持有,12818450,13138450,2.5,1.36%,2026-09-17,2026-09-18
3,富世達,持有,1731000,1773000,2.43,1.45%,2026-09-17,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,勤誠,持有,1516000,1364000,-10.03,0.44%,2026-09-17,2026-09-18
2,緯穎,持有,6332561,5972561,-5.68,4.55%,2026-09-17,2026-09-18
,,,,,,,,
,--- 新增股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,--- 移除股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,,,,,,,,
[最近一周] 2026-09-11 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,金像電,持有,219000,1234000,463.47,0.45%,2026-09-11,2026-09-18
2,欣銓,持有,5028000,6628000,31.82,0.63%,2026-09-11,2026-09-18
3,創意,持有,372000,413000,11.02,1.05%,2026-09-11,2026-09-18
4,京元電子,持有,12818450,13138450,2.5,1.36%,2026-09-11,2026-09-18
5,富世達,持有,1731000,1773000,2.43,1.45%,2026-09-11,2026-09-18
6,健策,持有,2477000,2512000,1.41,4.94%,2026-09-11,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,高力,持有,700000,485000,-30.71,0.25%,2026-09-11,2026-09-18
2,精測,持有,637000,446000,-29.98,0.56%,2026-09-11,2026-09-18
3,勤誠,持有,1516000,1364000,-10.03,0.44%,2026-09-11,2026-09-18
4,緯穎,持有,6490561,5972561,-7.98,4.55%,2026-09-11,2026-09-18
,,,,,,,,
,--- 新增股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,--- 移除股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,,,,,,,,
[最近一月] 2026-08-21 -> 2026-09-18,,,,,,,,
,--- 股數增加 Top 10 ---,,,,,,,
1,華通,持有,1000,501000,50000.0,0.04%,2026-08-21,2026-09-18
2,穎崴,持有,1000,95000,9400.0,0.22%,2026-08-21,2026-09-18
3,創意,持有,142000,413000,190.85,1.05%,2026-08-21,2026-09-18
4,緯穎,持有,2226000,5972561,168.31,4.55%,2026-08-21,2026-09-18
5,臻鼎-KY,持有,1645000,2712000,64.86,0.46%,2026-08-21,2026-09-18
6,京元電子,持有,11275450,13138450,16.52,1.36%,2026-08-21,2026-09-18
7,欣銓,持有,5917000,6628000,12.02,0.63%,2026-08-21,2026-09-18
8,健策,持有,2395000,2512000,4.89,4.94%,2026-08-21,2026-09-18
9,台達電,持有,7040000,7240000,2.84,4.47%,2026-08-21,2026-09-18
10,旺矽,持有,2486000,2546000,2.41,5.26%,2026-08-21,2026-09-18
,,,,,,,,
,--- 股數減少 Top 10 ---,,,,,,,
1,華星光,持有,2424000,1000,-99.96,0%,2026-08-21,2026-09-18
2,萬潤,持有,483000,1000,-99.79,0%,2026-08-21,2026-09-18
3,慧洋-KY,持有,200000,1000,-99.5,0%,2026-08-21,2026-09-18
4,譜瑞-KY,持有,140000,1000,-99.29,0%,2026-08-21,2026-09-18
5,高力,持有,1101000,485000,-55.95,0.25%,2026-08-21,2026-09-18
6,信驊,持有,410900,207900,-49.4,1.43%,2026-08-21,2026-09-18
7,勤誠,持有,2477000,1364000,-44.93,0.44%,2026-08-21,2026-09-18
8,金像電,持有,1957000,1234000,-36.94,0.45%,2026-08-21,2026-09-18
9,富世達,持有,2264000,1773000,-21.69,1.45%,2026-08-21,2026-09-18
10,日月光投控,持有,19479000,16811000,-13.7,3.82%,2026-08-21,2026-09-18
,,,,,,,,
,--- 新增股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
,,,,,,,,
,--- 移除股票 (0 檔) ---,,,,,,,
,（無）,,,,,,,
