date,etf_name,nav_value,已發行受益權單位總數,每受益權單位淨資產價值(元),台積電股數,台積電持股權重,聯電股數,聯電持股權重,奇鋐股數,奇鋐持股權重,欣興股數,欣興持股權重,台光電股數,台光電持股權重,日月光投控股數,日月光投控持股權重,金像電股數,金像電持股權重,台達電股數,台達電持股權重,智邦股數,智邦持股權重,緯穎股數,緯穎持股權重,群聯股數,群聯持股權重,華邦電股數,華邦電持股權重,旺矽股數,旺矽持股權重,信驊股數,信驊持股權重,國巨*股數,國巨*持股權重,貿聯-KY股數,貿聯-KY持股權重,旺宏股數,旺宏持股權重,南電股數,南電持股權重,世界股數,世界持股權重,臻鼎-KY股數,臻鼎-KY持股權重,健策股數,健策持股權重,嘉澤股數,嘉澤持股權重,國泰金股數,國泰金持股權重,致茂股數,致茂持股權重,穎崴股數,穎崴持股權重,鴻勁股數,鴻勁持股權重,高力股數,高力持股權重,力旺股數,力旺持股權重,健鼎股數,健鼎持股權重,勤誠股數,勤誠持股權重,辛耘股數,辛耘持股權重,台燿股數,台燿持股權重,華通股數,華通持股權重,創意股數,創意持股權重,聯亞股數,聯亞持股權重,金居股數,金居持股權重,中信金股數,中信金持股權重,文曄股數,文曄持股權重,頎邦股數,頎邦持股權重,譜瑞-KY股數,譜瑞-KY持股權重,順達股數,順達持股權重,中砂股數,中砂持股權重,聯發科股數,聯發科持股權重,光聖股數,光聖持股權重,華星光股數,華星光持股權重,穩懋股數,穩懋持股權重,富世達股數,富世達持股權重,強茂股數,強茂持股權重,上銀股數,上銀持股權重,全新股數,全新持股權重,京元電子股數,京元電子持股權重,精測股數,精測持股權重,欣銓股數,欣銓持股權重,萬潤股數,萬潤持股權重,高技股數,高技持股權重,漢唐股數,漢唐持股權重,大立光股數,大立光持股權重,華碩股數,華碩持股權重,南茂股數,南茂持股權重,亞德客-KY股數,亞德客-KY持股權重,台表科股數,台表科持股權重,矽力*-KY股數,矽力*-KY持股權重,精成科股數,精成科持股權重,新日興股數,新日興持股權重,優群股數,優群持股權重,中鋼股數,中鋼持股權重,東陽股數,東陽持股權重,世芯-KY股數,世芯-KY持股權重,富喬股數,富喬持股權重,美律股數,美律持股權重,鴻海股數,鴻海持股權重,景碩股數,景碩持股權重,南亞股數,南亞持股權重,環球晶股數,環球晶持股權重,雙鴻股數,雙鴻持股權重,台灣大股數,台灣大持股權重,台化股數,台化持股權重,亞翔股數,亞翔持股權重,南亞科股數,南亞科持股權重,聖暉*股數,聖暉*持股權重,台玻股數,台玻持股權重,川湖股數,川湖持股權重,玉山金股數,玉山金持股權重
2026-05-05,00981A 主動統一台股增長,260747573102,8878209000,29.37,10714000,9.25%,46374000.0,1.48%,3902000,4.05%,10386000,3.6%,4505000,8.17%,11059000,2.21%,8260000,4.69%,6118000,5.08%,6131000,5.87%,1769000,3.23%,,,,,1921000,3.68%,473000,3.23%,17220000,2.3%,4623848,5.1%,2956000.0,0.18%,12657000,4.84%,63000.0,0%,,,2267000,4.16%,,,,,,,397000,1.53%,,,934000,0.43%,,,,,1117000,0.54%,,,3257000,1.52%,2623000,0.28%,488000.0,0.9%,,,5558000,0.92%,,,,,7984000.0,0.54%,376000.0,0.08%,,,,,4363000,5.28%,,,1000.0,0%,,,1741000,1.33%,3653000.0,0.14%,,,,,12918000,1.75%,930000,1.31%,6994000.0,0.63%,1223000.0,0.63%,3178000.0,0.49%,1092000,0.41%,,,17000,0%,368000.0,0.01%,510000.0,0.28%,,,660000.0,0.11%,3987000,0.15%,1711000,0.13%,844000,0.06%,5162000,0.04%,510000,0.01%,296000,0.47%,107000,0%,17000,0%,13977000.0,1.28%,5359000.0,1.08%,,,,,,,,,,,,,,,,,,,,,,
2026-05-04,00981A 主動統一台股增長,254111503500,8607709000,29.52,10039000,8.99%,40054000.0,1.28%,3902000,4.43%,10226000,3.67%,4425000,8.28%,10859000,2.24%,8240000,4.67%,6024000,5.26%,6031000,5.95%,1754000,3.35%,,,,,1886000,3.83%,458000,3.16%,16954000,2.29%,4583848,5.3%,2910000.0,0.18%,12637000,4.9%,62000.0,0%,,,2267000,4.73%,,,,,,,391000,1.65%,,,914000,0.45%,,,,,1117000,0.51%,,,3019000,1.32%,2543000,0.27%,271000.0,0.5%,,,5558000,0.88%,,,,,7884000.0,0.56%,371000.0,0.08%,,,,,4363000,4.93%,,,1000.0,0%,,,2099000,1.83%,3652000.0,0.14%,,,,,12719000,1.66%,930000,1.38%,4897000.0,0.41%,1222000.0,0.64%,3130000.0,0.48%,1091000,0.42%,,,16000,0%,,,500000.0,0.29%,,,660000.0,0.11%,3986000,0.15%,1681000,0.14%,830000,0.06%,5161000,0.04%,509000,0.02%,738000,1.23%,107000,0%,16000,0%,10727000.0,0.96%,5358000.0,1.12%,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,00981A 主動統一台股增長,238945389225,8467709000,28.22,10039000,8.97%,40054000.0,1.3%,3902000,4.63%,10226000,3.78%,4425000,8.42%,10859000,2.17%,8240000,4.79%,6024000,5.46%,6031000,5.75%,1754000,3.43%,,,,,1886000,3.89%,458000,3.16%,16954000,2.25%,4583848,5.31%,2910000.0,0.19%,12637000,5.32%,62000.0,0%,,,2267000,5.1%,,,,,,,391000,1.7%,,,914000,0.48%,,,,,1117000,0.53%,,,3019000,1.28%,2543000,0.26%,271000.0,0.48%,,,5558000,0.9%,,,,,7884000.0,0.54%,371000.0,0.09%,,,,,4363000,4.77%,,,1000.0,0%,,,2099000,1.82%,3652000.0,0.15%,,,,,12719000,1.61%,930000,1.34%,4897000.0,0.4%,684000.0,0.35%,3130000.0,0.5%,1091000,0.43%,,,16000,0%,,,500000.0,0.3%,,,660000.0,0.12%,3986000,0.16%,1681000,0.14%,830000,0.06%,5161000,0.04%,509000,0.02%,738000,1.28%,107000,0%,16000,0%,10727000.0,0.99%,5358000.0,1.18%,,,,,,,,,,,,,,,,,,,,,,
2026-04-29,00981A 主動統一台股增長,236980413133,8489209000,27.92,9693000,8.92%,40054000.0,1.26%,3902000,4.67%,9287000,3.15%,4425000,8.29%,9536000,1.97%,8240000,4.73%,6024000,5.5%,6031000,5.62%,1754000,3.59%,,,,,1886000,3.94%,406000,2.84%,16954000,2.3%,4583848,5.38%,2910000.0,0.21%,12637000,4.88%,62000.0,0%,,,2267000,5.21%,,,,,,,391000,1.68%,98000.0,0.22%,535000,0.26%,,,,,1117000,0.53%,,,3019000,1.24%,1343000,0.13%,271000.0,0.47%,,,5558000,0.87%,,,,,7884000.0,0.53%,371000.0,0.09%,,,,,4363000,4.74%,,,1000.0,0%,,,2099000,1.83%,3652000.0,0.16%,,,,,12719000,1.52%,930000,1.42%,4897000.0,0.41%,,,3130000.0,0.51%,1091000,0.44%,,,16000,0%,,,500000.0,0.31%,,,660000.0,0.11%,3986000,0.17%,1681000,0.15%,830000,0.06%,5161000,0.04%,509000,0.02%,738000,1.25%,107000,0%,16000,0%,10727000.0,1.02%,5358000.0,1.15%,1374000.0,0.05%,,,,,,,,,,,,,,,,,,,,
2026-04-28,00981A 主動統一台股增長,235758523570,8481209000,27.8,9693000,9.11%,40054000.0,1.28%,3902000,4.6%,9287000,3.25%,4425000,8.21%,9536000,2%,8240000,4.86%,6024000,5.43%,6031000,5.87%,1635000,3.33%,,,,,1886000,3.9%,373000,2.55%,16954000,2.35%,4377848,4.88%,2910000.0,0.2%,12637000,5%,62000.0,0%,,,2267000,4.76%,,,,,,,391000,1.68%,98000.0,0.21%,535000,0.27%,,,,,1117000,0.55%,,,3019000,1.24%,1343000,0.14%,271000.0,0.48%,,,5558000,0.85%,,,,,7884000.0,0.48%,371000.0,0.09%,,,,,4363000,4.84%,,,1000.0,0%,,,2099000,1.86%,3652000.0,0.15%,,,,,12719000,1.53%,930000,1.46%,4897000.0,0.41%,,,3130000.0,0.53%,1091000,0.45%,,,16000,0%,,,500000.0,0.3%,,,660000.0,0.12%,3986000,0.18%,1681000,0.15%,830000,0.06%,5161000,0.04%,509000,0.02%,738000,1.25%,107000,0.01%,16000,0%,10727000.0,1.03%,5358000.0,1.15%,1374000.0,0.05%,,,,,,,,,,,,,,,,,,,,
2026-04-27,00981A 主動統一台股增長,232148514804,8369209000,27.74,9693000,9.46%,32791000.0,1.03%,3902000,4.77%,9287000,3.36%,4425000,9.02%,8174000,1.74%,8240000,5.04%,6024000,5.24%,6031000,5.65%,1549000,3.26%,,,,,1886000,3.96%,373000,2.57%,15196000,2%,4377848,4.96%,,,12637000,4.97%,62000.0,0%,,,2267000,4.84%,,,,,,,391000,1.61%,98000.0,0.21%,535000,0.25%,,,,,1117000,0.56%,,,3019000,1.29%,843000,0.09%,271000.0,0.46%,,,5558000,0.8%,,,,,7884000.0,0.44%,371000.0,0.1%,458000.0,0.08%,,,4147000,4.35%,,,1000.0,0%,,,2099000,1.87%,3652000.0,0.16%,,,,,11172000,1.36%,930000,1.43%,4897000.0,0.41%,,,3130000.0,0.5%,1091000,0.46%,,,16000,0%,,,,,,,660000.0,0.12%,3986000,0.18%,1681000,0.15%,830000,0.06%,5161000,0.04%,509000,0.02%,738000,1.32%,107000,0%,16000,0%,10727000.0,1.05%,5358000.0,1.19%,1374000.0,0.05%,333000.0,0.09%,,,,,,,,,,,,,,,,,,
2026-04-24,00981A 主動統一台股增長,212076376428,7672209000,27.64,9114000,9.39%,30837000.0,1.08%,3902000,5.42%,9287000,3.46%,4125000,8.7%,7654000,1.79%,7748000,5.08%,6024000,5.89%,5231000,5.28%,1101000,2.41%,,,,,1774000,3.89%,351000,2.71%,14288000,2%,4097848,5.34%,,,11881000,4.9%,61000.0,0%,,,2267000,5.74%,,,,,,,368000,1.75%,97000.0,0.22%,535000,0.28%,,,,,1051000,0.6%,,,3019000,1.49%,764000,0.08%,271000.0,0.52%,,,5558000,0.94%,,,,,7884000.0,0.54%,370000.0,0.11%,916000.0,0.16%,,,3867000,4.44%,,,1000.0,0%,,,1698000,1.53%,3651000.0,0.17%,,,,,10503000,1.42%,875000,1.5%,4896000.0,0.48%,,,2880000.0,0.5%,1091000,0.51%,,,15000,0%,,,,,,,660000.0,0.14%,3985000,0.2%,1561000,0.16%,780000,0.07%,5160000,0.05%,508000,0.02%,694000,1.38%,107000,0.01%,15000,0%,6927000.0,0.72%,5038000.0,1.25%,1373000.0,0.06%,332000.0,0.09%,170000.0,0.1%,,,,,,,,,,,,,,,,
2026-04-23,00981A 主動統一台股增長,199665627940,7532709000,26.51,9113000,9.49%,30837000.0,1.14%,3845000,5.16%,9287000,3.39%,3904000,8.02%,7654000,1.78%,7389000,4.68%,6024000,5.97%,5057000,5.27%,952000,2.03%,,,,,1774000,4.26%,351000,2.75%,14288000,2.11%,3933848,5.43%,,,9256000,3.69%,61000.0,0%,,,2267000,6.03%,,,,,,,368000,1.98%,97000.0,0.23%,535000,0.32%,,,,,1051000,0.58%,57000.0,0.03%,3019000,1.44%,764000,0.09%,271000.0,0.53%,,,5558000,1.03%,,,,,7884000.0,0.53%,370000.0,0.11%,916000.0,0.18%,,,3295000,3.66%,,,1000.0,0%,,,1698000,1.62%,3651000.0,0.18%,,,,,10503000,1.46%,781000,1.51%,4896000.0,0.48%,,,2880000.0,0.54%,1091000,0.53%,,,15000,0%,,,,,,,660000.0,0.14%,3985000,0.21%,1561000,0.17%,780000,0.07%,5160000,0.05%,508000,0.02%,694000,1.38%,107000,0.01%,15000,0%,6927000.0,0.78%,2952000.0,0.71%,1373000.0,0.06%,332000.0,0.1%,170000.0,0.09%,,,,,,,,,,,,,,,,
2026-04-22,00981A 主動統一台股增長,192524213626,7183209000,26.8,8218000,8.75%,29889000.0,1.22%,3727000,5.22%,9287000,3.45%,3681000,7.77%,7419000,1.79%,7389000,4.8%,5839000,6.11%,4902000,5.6%,923000,2.09%,,,,,1720000,4.31%,351000,2.93%,14288000,2.34%,3812848,5.06%,,,8972000,3.74%,61000.0,0%,,,2198000,6.18%,,,,,,,357000,1.99%,95000.0,0.23%,535000,0.33%,,,,,1019000,0.55%,527000.0,0.23%,3019000,1.53%,764000,0.1%,271000.0,0.52%,,,5558000,1.14%,,,,,7884000.0,0.58%,,,3880000.0,0.84%,,,3194000,3.81%,,,1037000.0,0.34%,,,1646000,1.7%,3651000.0,0.2%,,,,,10180000,1.52%,781000,1.7%,4745000.0,0.52%,461000.0,0.33%,2791000.0,0.61%,1058000,0.55%,15000.0,0.02%,15000,0%,,,,,,,660000.0,0.14%,3865000,0.22%,1561000,0.18%,780000,0.07%,5160000,0.05%,508000,0.02%,673000,1.42%,107000,0.01%,15000,0%,6715000.0,0.77%,2862000.0,0.73%,8015000.0,0.37%,949000.0,0.3%,170000.0,0.1%,,,,,,,,,,,,,,,,
2026-04-21,00981A 主動統一台股增長,183302500831,6957209000,26.35,8068000,9.02%,29505000.0,1.23%,3667000,5.13%,9287000,3.6%,3358000,7.24%,7369000,1.9%,7389000,4.94%,5819000,6.4%,4840000,5.78%,794000,1.83%,,,,,1698000,4.58%,351000,2.92%,14238000,2.51%,3692848,4.89%,,,8852000,3.81%,11000.0,0%,,,2168000,6.35%,,,,,,,353000,2.06%,94000.0,0.23%,535000,0.35%,,,,,1006000,0.56%,527000.0,0.22%,3019000,1.59%,714000,0.1%,271000.0,0.55%,,,5558000,1.19%,,,,,7884000.0,0.58%,,,3860000.0,0.8%,,,2674000,3.05%,,,1037000.0,0.37%,,,1596000,1.67%,3650000.0,0.22%,,,,,10050000,1.54%,781000,1.75%,4715000.0,0.53%,456000.0,0.33%,2756000.0,0.66%,1057000,0.58%,14000.0,0.02%,14000,0%,,,,,,,630000.0,0.14%,3864000,0.24%,1560000,0.19%,630000,0.06%,5159000,0.06%,507000,0.02%,665000,1.45%,106000,0.01%,14000,0%,,,2826000.0,0.73%,8014000.0,0.39%,948000.0,0.31%,169000.0,0.1%,,,,,,,,,,,,,,,,
2026-04-20,00981A 主動統一台股增長,168892813751,6585709000,25.65,7131000,8.55%,29205000.0,1.33%,3547000,5.23%,9287000,3.73%,3138000,7.15%,7167000,1.96%,7389000,5.29%,5317000,5.98%,4431000,5.26%,582000,1.37%,,,,,1648000,5.01%,351000,3%,14138000,2.67%,3612848,5.26%,,,8609000,4.06%,10000.0,0%,,,2108000,6.27%,,,,,,,344000,2.2%,94000.0,0.25%,535000,0.38%,,,,,1005000,0.61%,527000.0,0.25%,3019000,1.7%,114000,0.02%,271000.0,0.57%,,,5508000,1.32%,,,,,7884000.0,0.59%,,,3859000.0,0.84%,,,1948000,2.19%,,,1037000.0,0.43%,,,1536000,1.72%,3649000.0,0.24%,,,,,9930000,1.59%,711000,1.6%,4715000.0,0.52%,436000.0,0.32%,2656000.0,0.69%,1056000,0.64%,13000.0,0.02%,13000,0%,,,,,,,,,3814000,0.26%,1560000,0.19%,580000,0.06%,5158000,0.06%,506000,0.02%,350000,0.75%,106000,0.01%,13000,0%,,,2826000.0,0.72%,8013000.0,0.41%,923000.0,0.3%,168000.0,0.1%,13000.0,0%,,,,,,,,,,,,,,
2026-04-17,00981A 主動統一台股增長,153527046424,6154709000,24.94,6556000,8.67%,28030000.0,1.33%,3405000,5.32%,9287000,3.89%,3012000,7.46%,6879000,1.98%,7091000,5.43%,5103000,6.12%,4253000,5.73%,349000,0.86%,,,,,1582000,5.35%,351000,3.16%,13568000,2.8%,3467848,5.34%,,,8609000,4.06%,10000.0,0%,,,1986000,5.91%,,,,,,,331000,2.22%,91000.0,0.27%,535000,0.43%,,,,,965000,0.64%,527000.0,0.26%,3019000,1.86%,110000,0.02%,271000.0,0.57%,,,5508000,1.32%,,,,,7884000.0,0.59%,,,3703000.0,0.87%,,,1870000,2.34%,,,1037000.0,0.43%,,,1474000,1.8%,3648000.0,0.28%,,,,,9529000,1.71%,683000,1.66%,3355000.0,0.38%,419000.0,0.33%,2156000.0,0.56%,1014000,0.68%,13000.0,0.02%,12000,0%,,,,,,,,,3814000,0.26%,1498000,0.19%,557000,0.06%,5157000,0.07%,505000,0.03%,336000,0.77%,106000,0.01%,12000,0%,,,2826000.0,0.72%,8012000.0,0.46%,886000.0,0.29%,167000.0,0.11%,12000.0,0%,,,,,,,,,,,,,,
